"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Philippines","Market Average","Market Average","beans","2007-01-01","94.56","95.77","93.43","94.57","PHP"
"","Philippines","Market Average","Market Average","beans","2007-02-01","94.6","95.77","93.43","95.5","PHP"
"","Philippines","Market Average","Market Average","beans","2007-03-01","95.45","96.5","94.4","95.04","PHP"
"","Philippines","Market Average","Market Average","beans","2007-04-01","94.97","95.86","94.08","95.46","PHP"
"","Philippines","Market Average","Market Average","beans","2007-05-01","95.47","96.28","94.67","94.83","PHP"
"","Philippines","Market Average","Market Average","beans","2007-06-01","94.67","95.44","93.9","94.72","PHP"
"","Philippines","Market Average","Market Average","beans","2007-07-01","94.8","95.49","94.11","94.94","PHP"
"","Philippines","Market Average","Market Average","beans","2007-08-01","94.81","95.45","94.16","95.4","PHP"
"","Philippines","Market Average","Market Average","beans","2007-09-01","95.42","96.1","94.74","95.1","PHP"
"","Philippines","Market Average","Market Average","beans","2007-10-01","94.99","95.65","94.34","95.14","PHP"
"","Philippines","Market Average","Market Average","beans","2007-11-01","95.19","95.81","94.56","94.71","PHP"
"","Philippines","Market Average","Market Average","beans","2007-12-01","94.63","95.27","93.99","94.96","PHP"
"","Philippines","Market Average","Market Average","beans","2008-01-01","95.05","95.68","94.41","95","PHP"
"","Philippines","Market Average","Market Average","beans","2008-02-01","94.91","95.53","94.3","95.02","PHP"
"","Philippines","Market Average","Market Average","beans","2008-03-01","95.1","95.7","94.5","95.37","PHP"
"","Philippines","Market Average","Market Average","beans","2008-04-01","95.3","95.9","94.69","95.07","PHP"
"","Philippines","Market Average","Market Average","beans","2008-05-01","95.08","95.68","94.48","95.02","PHP"
"","Philippines","Market Average","Market Average","beans","2008-06-01","95.03","95.62","94.38","94.38","PHP"
"","Philippines","Market Average","Market Average","beans","2008-07-01","94.4","95.06","93.75","94.75","PHP"
"","Philippines","Market Average","Market Average","beans","2008-08-01","94.84","95.49","94.2","94.96","PHP"
"","Philippines","Market Average","Market Average","beans","2008-09-01","94.92","95.54","94.3","94.37","PHP"
"","Philippines","Market Average","Market Average","beans","2008-10-01","94.49","95.14","93.84","94.14","PHP"
"","Philippines","Market Average","Market Average","beans","2008-11-01","94.24","94.88","93.6","94.59","PHP"
"","Philippines","Market Average","Market Average","beans","2008-12-01","94.67","95.3","94.04","94.9","PHP"
"","Philippines","Market Average","Market Average","beans","2009-01-01","94.91","95.53","94.3","94.3","PHP"
"","Philippines","Market Average","Market Average","beans","2009-02-01","94.38","95.04","93.72","94.68","PHP"
"","Philippines","Market Average","Market Average","beans","2009-03-01","94.75","95.39","93.79","93.79","PHP"
"","Philippines","Market Average","Market Average","beans","2009-04-01","93.81","94.57","93.05","94.57","PHP"
"","Philippines","Market Average","Market Average","beans","2009-05-01","94.73","95.52","93.96","95.52","PHP"
"","Philippines","Market Average","Market Average","beans","2009-06-01","95.33","96.12","94.23","94.23","PHP"
"","Philippines","Market Average","Market Average","beans","2009-07-01","94.31","95.17","93.45","93.47","PHP"
"","Philippines","Market Average","Market Average","beans","2009-08-01","93.58","94.45","92.75","94.45","PHP"
"","Philippines","Market Average","Market Average","beans","2009-09-01","94.47","95.31","93.63","94.21","PHP"
"","Philippines","Market Average","Market Average","beans","2009-10-01","94.18","94.92","93.44","94.85","PHP"
"","Philippines","Market Average","Market Average","beans","2009-11-01","94.94","95.69","94.2","94.44","PHP"
"","Philippines","Market Average","Market Average","beans","2009-12-01","94.33","95.04","93.61","94.96","PHP"
"","Philippines","Market Average","Market Average","beans","2010-01-01","95.05","95.77","94.32","94.76","PHP"
"","Philippines","Market Average","Market Average","beans","2010-02-01","94.56","95.23","93.89","94.22","PHP"
"","Philippines","Market Average","Market Average","beans","2010-03-01","94.32","94.97","93.68","94.04","PHP"
"","Philippines","Market Average","Market Average","beans","2010-04-01","93.97","94.6","93.34","94.29","PHP"
"","Philippines","Market Average","Market Average","beans","2010-05-01","94.35","94.98","93.73","94.69","PHP"
"","Philippines","Market Average","Market Average","beans","2010-06-01","94.62","95.25","94","94.17","PHP"
"","Philippines","Market Average","Market Average","beans","2010-07-01","94.22","94.92","93.59","94.92","PHP"
"","Philippines","Market Average","Market Average","beans","2010-08-01","94.92","95.62","94.21","94.21","PHP"
"","Philippines","Market Average","Market Average","beans","2010-09-01","94.14","94.86","93.42","94.15","PHP"
"","Philippines","Market Average","Market Average","beans","2010-10-01","94.29","94.95","93.63","94.83","PHP"
"","Philippines","Market Average","Market Average","beans","2010-11-01","94.71","95.38","94.03","94.92","PHP"
"","Philippines","Market Average","Market Average","beans","2010-12-01","94.91","95.55","94.15","94.15","PHP"
"","Philippines","Market Average","Market Average","beans","2011-01-01","94.14","94.84","93.43","94.35","PHP"
"","Philippines","Market Average","Market Average","beans","2011-02-01","94.41","95.44","93.76","95.44","PHP"
"","Philippines","Market Average","Market Average","beans","2011-03-01","95.29","96.09","94.14","94.14","PHP"
"","Philippines","Market Average","Market Average","beans","2011-04-01","94.12","95","93.24","94.08","PHP"
"","Philippines","Market Average","Market Average","beans","2011-05-01","94.2","94.96","93.45","94.44","PHP"
"","Philippines","Market Average","Market Average","beans","2011-06-01","94.34","95.03","93.64","93.75","PHP"
"","Philippines","Market Average","Market Average","beans","2011-07-01","93.87","94.56","93.17","94.48","PHP"
"","Philippines","Market Average","Market Average","beans","2011-08-01","94.53","95.37","93.82","95.37","PHP"
"","Philippines","Market Average","Market Average","beans","2011-09-01","95.27","96.04","94.48","94.48","PHP"
"","Philippines","Market Average","Market Average","beans","2011-10-01","94.47","95.25","93.69","93.78","PHP"
"","Philippines","Market Average","Market Average","beans","2011-11-01","93.88","95.48","93.12","95.48","PHP"
"","Philippines","Market Average","Market Average","beans","2011-12-01","95.38","96.41","94.11","94.11","PHP"
"","Philippines","Market Average","Market Average","beans","2012-01-01","93.99","95.02","92.96","94.32","PHP"
"","Philippines","Market Average","Market Average","beans","2012-02-01","94.53","95.4","93.66","94.32","PHP"
"","Philippines","Market Average","Market Average","beans","2012-03-01","94.12","94.88","93.36","93.91","PHP"
"","Philippines","Market Average","Market Average","beans","2012-04-01","94.1","94.79","93.41","94.69","PHP"
"","Philippines","Market Average","Market Average","beans","2012-05-01","94.61","95.31","91.11","91.11","PHP"
"","Philippines","Market Average","Market Average","beans","2012-06-01","91.34","93.03","84.74","84.74","PHP"
"","Philippines","Market Average","Market Average","beans","2012-07-01","85.65","88.72","78.47","78.47","PHP"
"","Philippines","Market Average","Market Average","beans","2012-08-01","79.86","83.46","73.03","73.03","PHP"
"","Philippines","Market Average","Market Average","beans","2012-09-01","74.99","78.58","71.41","77.72","PHP"
"","Philippines","Market Average","Market Average","beans","2012-10-01","79.91","83.27","76.54","77.94","PHP"
"","Philippines","Market Average","Market Average","beans","2012-11-01","79.47","82.17","76.78","78.15","PHP"
"","Philippines","Market Average","Market Average","beans","2012-12-01","80.62","82.75","78.49","82.21","PHP"
"","Philippines","Market Average","Market Average","beans","2013-01-01","83.28","88.69","81.4","88.69","PHP"
"","Philippines","Market Average","Market Average","beans","2013-02-01","89.41","92.14","86.67","87.84","PHP"
"","Philippines","Market Average","Market Average","beans","2013-03-01","87.54","89.72","85.37","85.9","PHP"
"","Philippines","Market Average","Market Average","beans","2013-04-01","85.98","87.76","83.92","83.92","PHP"
"","Philippines","Market Average","Market Average","beans","2013-05-01","83.19","84.83","81.55","84.22","PHP"
"","Philippines","Market Average","Market Average","beans","2013-06-01","83.88","85.24","82.53","84.69","PHP"
"","Philippines","Market Average","Market Average","beans","2013-07-01","83.83","84.97","82.7","83.88","PHP"
"","Philippines","Market Average","Market Average","beans","2013-08-01","83.58","84.49","82.68","83.99","PHP"
"","Philippines","Market Average","Market Average","beans","2013-09-01","83.55","84.33","82.77","83.06","PHP"
"","Philippines","Market Average","Market Average","beans","2013-10-01","82.88","83.59","82.18","82.82","PHP"
"","Philippines","Market Average","Market Average","beans","2013-11-01","82.79","83.41","82.16","83.26","PHP"
"","Philippines","Market Average","Market Average","beans","2013-12-01","83.23","83.84","81.48","81.48","PHP"
"","Philippines","Market Average","Market Average","beans","2014-01-01","81.65","82.63","80.68","81.38","PHP"
"","Philippines","Market Average","Market Average","beans","2014-02-01","81.79","82.6","80.99","81.3","PHP"
"","Philippines","Market Average","Market Average","beans","2014-03-01","81.52","82.24","80.8","81.46","PHP"
"","Philippines","Market Average","Market Average","beans","2014-04-01","81.94","82.57","81.31","81.45","PHP"
"","Philippines","Market Average","Market Average","beans","2014-05-01","81.73","82.92","81.11","82.92","PHP"
"","Philippines","Market Average","Market Average","beans","2014-06-01","83.24","84.05","82.43","82.46","PHP"
"","Philippines","Market Average","Market Average","beans","2014-07-01","82.47","84.23","81.7","84.23","PHP"
"","Philippines","Market Average","Market Average","beans","2014-08-01","84.39","85.73","83.31","85.73","PHP"
"","Philippines","Market Average","Market Average","beans","2014-09-01","85.2","87.77","84.1","87.77","PHP"
"","Philippines","Market Average","Market Average","beans","2014-10-01","87.37","89.7","85.84","89.7","PHP"
"","Philippines","Market Average","Market Average","beans","2014-11-01","88.6","91.14","86.95","91.14","PHP"
"","Philippines","Market Average","Market Average","beans","2014-12-01","90.07","91.84","88.29","90.54","PHP"
"","Philippines","Market Average","Market Average","beans","2015-01-01","89.16","91.94","87.78","91.94","PHP"
"","Philippines","Market Average","Market Average","beans","2015-02-01","90.74","92.46","89.01","92.29","PHP"
"","Philippines","Market Average","Market Average","beans","2015-03-01","90.68","92.52","89.15","92.52","PHP"
"","Philippines","Market Average","Market Average","beans","2015-04-01","91.41","92.89","89.93","92.3","PHP"
"","Philippines","Market Average","Market Average","beans","2015-05-01","91","92.23","89.77","92.19","PHP"
"","Philippines","Market Average","Market Average","beans","2015-06-01","91.36","92.49","90.23","91.7","PHP"
"","Philippines","Market Average","Market Average","beans","2015-07-01","90.87","92.15","89.93","92.15","PHP"
"","Philippines","Market Average","Market Average","beans","2015-08-01","91.69","92.69","90.7","91.57","PHP"
"","Philippines","Market Average","Market Average","beans","2015-09-01","91.09","91.92","90.27","91.63","PHP"
"","Philippines","Market Average","Market Average","beans","2015-10-01","91.58","92.34","90.81","91.9","PHP"
"","Philippines","Market Average","Market Average","beans","2015-11-01","91.68","92.38","90.98","91.04","PHP"
"","Philippines","Market Average","Market Average","beans","2015-12-01","91.16","91.86","90.46","90.84","PHP"
